"nace","year","market_EU28"
1511,2010,50458764.438544
1511,2011,56548010.103142
1511,2012,57565846.395946
1511,2013,62658772.747704
1511,2014,67899860.900739
1511,2015,65791593.721964
1511,2016,64410920.502258
1512,2005,39046472.959914
1512,2006,43638770.8537
1512,2007,48409590.045501
1512,2008,48423986.274944
1512,2009,40316475.069332
1512,2010,50028396.052136
1512,2011,62151247.492353
1512,2012,58717186.250618
1512,2013,58767391.647636
1512,2014,58591811.650211
1512,2015,59449271.607484
1512,2016,57161492.261658
1520,2005,110241356.354017
1520,2006,117953717.0218
1520,2007,119578117.461417
1520,2008,112345266.700706
1520,2009,97617789.099656
1520,2010,102448692.431956
1520,2011,125928967.816993
1520,2012,113626477.01468
1520,2013,119396295.602472
1520,2014,134232794.881206
1520,2015,134792879.48412
1520,2016,128425724.561964
1610,2005,168270271.999571
1610,2006,174860153.1457
1610,2007,194281126.667325
1610,2008,166099991.058638
1610,2009,137334185.6934
1610,2010,160272052.844776
1610,2011,172836395.722701
1610,2012,169780065.195902
1610,2013,170580075.543318
1610,2014,180361084.691445
1610,2015,179819980.30524
1610,2016,182877716.02971
1621,2005,12240907.88655
1621,2006,11950738.7879
1621,2007,166521014.388711
1621,2008,152570589.40551
1621,2009,117519614.981137
1621,2010,127257745.314188
1621,2011,135154004.209981
1621,2012,134970100.575751
1621,2013,135973129.819926
1621,2014,139675195.640925
1621,2015,142312410.393076
1621,2016,138712162.170858
1622,2005,16607118.598609
1622,2006,18802392.0612
1622,2007,18514596.883347
1622,2008,13654408.513212
1622,2009,10989147.440796
1622,2010,11369834.093272
1622,2011,12188163.929991
1622,2012,12219326.672805
1622,2013,11690916.301722
1622,2014,12333488.792709
1622,2015,13491065.0336
1622,2016,14097520.92681
1623,2005,208578162.450483
1623,2006,230611331.3207
1623,2007,250672186.526535
1623,2008,237318120.087292
1623,2009,191481156.106359
1623,2010,199501924.591598
1623,2011,211708182.234452
1623,2012,201137625.546004
1623,2013,202539616.648278
1623,2014,208079153.582825
1623,2015,216846024.809084
1623,2016,217200091.969236
1624,2005,46875951.841369
1624,2006,51398233.8925
1624,2007,59382672.151689
1624,2008,58341095.27663
1624,2009,46809978.253882
1624,2010,52400955.570318
1624,2011,59161350.204653
1624,2012,58807315.187726
1624,2013,59495402.560566
1624,2014,64720801.510771
1624,2015,69555084.733156
1624,2016,70162173.28107
1629,2005,25243946.703171
1629,2006,25060196.5471
1629,2007,25244172.964179
1629,2008,50470919.553008
1629,2009,40422926.673628
1629,2010,43069391.077586
1629,2011,44136278.149448
1629,2012,47572432.028422
1629,2013,46574597.905206
1629,2014,48724559.91305
1629,2015,46850923.056564
1629,2016,55131272.647152
1711,2005,0
1711,2006,56347466.0881
1711,2007,60194238.320466
1711,2008,57651984.335654
1711,2009,43088736.655385
1711,2010,67164949.060188
