kurstype	valuta	tid	Månedsgennemsnit	
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M11	744.0559
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2016M12	743.6205
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M01	743.5468
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M02	743.4800
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M03	743.5570
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M04	743.7582
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M05	743.9847
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M06	743.7457
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M07	743.6638
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M08	743.7870
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M09	744.0129
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M10	744.2909
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M11	744.1964
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2017M12	744.3321
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M01	573.4673
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M02	570.1645
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M03	562.5891
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M04	551.1117
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M05	551.2440
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M06	555.0825
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M07	542.5386
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M08	546.4035
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M09	536.2515
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M10	523.9039
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M11	507.6964
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2007M12	511.9935
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M01	506.2445
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M02	505.4895
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M03	480.1167
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M04	473.7310
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M05	479.4200
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M06	479.3605
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M07	473.0722
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M08	498.3395
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M09	519.1668
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M10	560.2891
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M11	585.0685
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2008M12	557.4642
Valutakurser (DKK pr. 100 enheder valuta)	Amerikanske dollar  (Jan. 1979-)	2009M01	563.1619
